num_redundancy,simple,simple_var,task_community,task_community_var,worker_community,worker_community_var,full,full_var
5,0.7697499999999999,0.0005362875000000003,0.7725500000000001,0.0006763474999999995,0.77325,0.0007683874999999997,0.78115,0.0007015274999999996
6,0.8111499999999999,0.000322627499999999,0.8157500000000001,0.0004544874999999988,0.8192499999999999,0.000438487499999999,0.82255,0.0003849474999999991
7,0.8472499999999998,0.00021128750000000036,0.85405,0.0003101475000000006,0.8563000000000001,0.00032421000000000067,0.8614,0.0002683400000000005
8,0.8845000000000001,0.00036975000000000067,0.8904500000000001,0.0004289475000000007,0.8927999999999999,0.00037196000000000066,0.8977999999999999,0.0003363600000000006
9,0.9011000000000001,0.00033059000000000056,0.9087000000000002,0.0003560100000000006,0.9106000000000002,0.0003157399999999999,0.9139500000000002,0.0003247475000000001
10,0.92505,0.00028554749999999907,0.9294499999999999,0.00028844749999999914,0.9293499999999998,0.00027782749999999905,0.9327500000000001,0.00026318749999999905
11,0.9443000000000001,0.00013170999999999935,0.9488000000000001,0.00011015999999999958,0.9494499999999999,9.454749999999982e-05,0.9511499999999999,9.472749999999977e-05
12,0.9502999999999998,0.00013370999999999986,0.9540500000000002,0.00011134749999999983,0.9526999999999999,0.00011720999999999989,0.95475,8.748749999999984e-05
13,0.9647,7.691000000000013e-05,0.9667999999999998,5.7960000000000096e-05,0.9653499999999997,6.622750000000013e-05,0.9668500000000002,5.59275000000001e-05
14,0.9702,3.8060000000000066e-05,0.9718,2.4960000000000042e-05,0.9712999999999999,4.3610000000000065e-05,0.9719999999999999,3.1600000000000057e-05
15,0.9766000000000001,2.6940000000000044e-05,0.9787500000000001,1.8987500000000038e-05,0.9775,2.4350000000000043e-05,0.9794,1.9540000000000037e-05
