num_worker,simple,simple_var,task_community,task_community_var,worker_community,worker_community_var,full,full_var
50,0.78844,0.0006680184000000003,0.7916899999999999,0.0006287098999999995,0.7900500000000001,0.0006442555,0.7914999999999999,0.0006078099999999996
100,0.7814599999999998,0.0004122124000000002,0.78479,0.0004197779000000003,0.7839600000000001,0.00043569839999999996,0.78574,0.0004364723999999998
150,0.78936,0.00030971440000000013,0.79541,0.0002811058999999999,0.79443,0.00029214909999999994,0.79745,0.00029664749999999993
200,0.7827,0.00011563,0.7884800000000001,0.00013553359999999995,0.7890900000000001,0.0001266898999999998,0.79198,0.00013597560000000003
250,0.7849099999999999,0.00020467389999999976,0.7905200000000001,0.00018701359999999983,0.7941,0.00016638600000000008,0.7968599999999999,0.0001513524000000001
300,0.7811,8.74860000000003e-05,0.78679,6.948990000000003e-05,0.79345,7.571150000000002e-05,0.7961400000000001,7.403240000000004e-05
350,0.7784000000000001,0.00014645600000000018,0.7830699999999999,0.00015780110000000012,0.7936500000000001,0.00014385549999999987,0.79589,0.0001379778999999998
400,0.7742299999999999,5.426909999999996e-05,0.77721,6.563789999999999e-05,0.7923799999999999,6.140759999999984e-05,0.79435,5.228749999999987e-05
450,0.7759900000000001,6.904990000000007e-05,0.7769500000000001,7.203149999999983e-05,0.7931600000000001,6.752239999999993e-05,0.7955500000000001,6.207550000000003e-05
500,0.77999,8.670989999999968e-05,0.7821699999999999,8.11131e-05,0.79853,8.869309999999983e-05,0.80102,8.82196000000002e-05
